name,price,category,type,unit,deal,Checkbox
פטל שחור רובי מארז,20,פירות יער,פירות,מארז,6 ב-100₪,TRUE
פטל שחור בהר מארז,20,פירות יער,פירות,מארז,6 ב-100₪,TRUE
פטל שחור בכר מארז,20,פירות יער,פירות,מארז,6 ב-100₪,TRUE
פטל אדום בהר מארז,25,פירות יער,פירות,מארז,,TRUE
אוכמניות כרמל קטן מארז,12,פירות יער,פירות,מארז,,TRUE
אוכמניות כרמל בינוני מארז,15,פירות יער,פירות,מארז,2 ב-25₪,TRUE
אוכמניות כרמל גדול מארז,15,פירות יער,פירות,מארז,,TRUE
אוכמניות ישראלי מארז,25,פירות יער,פירות,250 גרם,,TRUE
אוכמניות גליל ים מארז,15,פירות יער,פירות,מארז,2 ב-25₪,TRUE
גולדן ברי מארז,20,מיוחדים,פירות,מארז,2 ב-30₪,TRUE
דובדבן אדום,70,פירות יער,פירות,קילו,,TRUE
דובדבן לבן,70,פירות יער,פירות,קילו,,TRUE
אבוקדו מוכן לאכילה מארז,20,מארזים,פירות,מארז,2 ב-30₪,TRUE
פומלה קלופה מארז,15,קלופים,פירות,מארז,2 ב-25₪,TRUE
תות פקיסטן מארז,15,פירות יער,פירות,מארז,,TRUE
אננס חתוך מארז,25,קלופים,פירות,מארז,2 ב-40₪,TRUE
אבטיח חתוך מארז,25,קלופים,פירות,מארז,2 ב-40₪,TRUE
מלון חתוך מארז,25,קלופים,פירות,מארז,2 ב-40₪,TRUE
קוקוס חתוך מארז,20,קלופים,פירות,מארז,2 ב-30₪,TRUE
קיווי חתוך מארז,25,קלופים,פירות,מארז,2 ב-40₪,TRUE
מישמש,35,לפי קילו,פירות,קילו,,TRUE
פינגר ליים מארז,20,מיוחדים,פירות,מארז,,TRUE
עלי גפן מארז,40,עלי גפן,פירות,500 גרם,,TRUE
קפיר ליים מארז,10,מיוחדים,פירות,מארז,,TRUE
תאנה מארז,35,מיוחדים,פירות,500 גרם,,TRUE
מארז פקאן,30,אגוזים ומיוחדים,פירות,מארז,,TRUE
קרמבולה,40,מיוחדים,פירות,קילו,,TRUE
פקאן עם קליפה מארז,25,אגוזים ומיוחדים,פירות,מארז,,TRUE
תמר מארז,30,תמרים,פירות,15 יחידות,,TRUE
תמר עם אגוז מארז,35,תמרים,פירות,15 יחידות,,TRUE
אננס קאפי יחידה,40,אננס,פירות,יחידה,סרט סגול,TRUE
אננס דלמונטה יחידה,40,אננס,פירות,יחידה,טיקט,TRUE
קיווי צהוב,22,לפי קילו,פירות,קילו,,TRUE
שזיף לב אדום,40,לפי קילו,פירות,קילו,,TRUE
גויאבה,25,לפי קילו,פירות,קילו,,TRUE
פאפאיה זוג מארז,15,מיוחדים,פירות,מארז,,TRUE
שזיף מיטלי,40,לפי קילו,פירות,קילו,,TRUE
ענב ירוק ישראלי,40,ענבים,פירות,קילו,,TRUE
ענב אדום ישראלי,40,ענבים,פירות,קילו,,TRUE
דומדמניות מארז,35,פירות יער,פירות,מארז,,TRUE
שקד ירוק,15,אגוזים ומיוחדים,פירות,קילו,,TRUE
כדורי קוקוס יחידה,20,קלופים,פירות,יחידה,2 ב-30₪,TRUE
כרוב ניצנים מארז,20,ירקות טריים,ירקות,מארז,2 ב-30₪,TRUE
כרובית שלג מארז,20,ירקות טריים,ירקות,מארז,2 ב-30₪,TRUE
ברוקולי ג׳מבו מארז,20,ירקות טריים,ירקות,מארז,2 ב-30₪,TRUE
ארטישוק ירושלמי מארז,20,ירקות טריים,ירקות,מארז,2 ב-30₪,TRUE
שעועית ירוקה מארז,20,ירקות טריים,ירקות,מארז,2 ב-30₪,TRUE
שעועית צהובה מארז,20,ירקות טריים,ירקות,מארז,2 ב-30₪,TRUE
שעועית רחבה מארז,20,ירקות טריים,ירקות,מארז,2 ב-30₪,TRUE
פקוס מארז,20,ירקות טריים,ירקות,מארז,2 ב-30₪,TRUE
אספרגוס מארז,20,ירקות טריים,ירקות,מארז,2 ב-30₪,TRUE
כרובית טריו מארז,20,ירקות טריים,ירקות,מארז,2 ב-30₪,TRUE
רוברבר מארז,20,ירקות טריים,ירקות,מארז,2 ב-30₪,TRUE
דלעת מארז,20,ירקות טריים,ירקות,מארז,2 ב-30₪,TRUE
במיה מארז,20,ירקות טריים,ירקות,300 גרם,2 ב-30₪,TRUE
תירס לבן מארז,25,ירקות טריים,ירקות,מארז,,TRUE
תירס צהוב מארז,20,ירקות טריים,ירקות,מארז,,TRUE
ג׳ינג׳ר,10,ירקות טריים,ירקות,100 גרם,,TRUE
פלפל צ׳ילי חריף מארז,20,ירקות טריים,ירקות,500 גרם,,TRUE
זיתים,20,חמוצים,מטבח טרי,יחידה,,TRUE
שיפקה,20,חמוצים,מטבח טרי,יחידה,,TRUE
כרובית חמוצה,20,חמוצים,מטבח טרי,יחידה,,TRUE
חלפיניו מוחמץ,20,חמוצים,מטבח טרי,יחידה,,TRUE
לפת מוחמץ,20,חמוצים,מטבח טרי,יחידה,,TRUE
מלפפון חמוץ,20,חמוצים,מטבח טרי,יחידה,,TRUE
מיץ טבעי 1 ליטר,18,מיצים,מטבח טרי,1 ליטר,2 ב-30₪,TRUE
חומץ תפוחים 1 ליטר,22,מיצים ושתייה,מטבח טרי,1 ליטר,,TRUE
פטל מצופה בשוקולד חלב ושוקולד לבן,40,מצופים בשוקולד,מטבח טרי,מארז,3 ב-100₪,TRUE
פטל שחור מצופה בשוקולד חלב ושוקולד לבן,40,מצופים בשוקולד,מטבח טרי,מארז,3 ב-100₪,TRUE
פטל מצופה בפיסטוק,40,מצופים בשוקולד,מטבח טרי,מארז,3 ב-100₪,TRUE
פטל מצופה בשוקולד לבן,40,מצופים בשוקולד,מטבח טרי,מארז,3 ב-100₪,TRUE
פטל מצופה בשוקולד מריר,40,מצופים בשוקולד,מטבח טרי,מארז,3 ב-100₪,TRUE
תות מצופה בשוקולד חלב ושוקולד לבן,40,מצופים בשוקולד,מטבח טרי,מארז,3 ב-100₪,TRUE
תות מצופה שוקולד מריר,40,מצופים בשוקולד,מטבח טרי,מארז,3 ב-100₪,TRUE
