name,price,category,type,unit,deal,Checkbox
אגוזי לוז,35,חלווה בטעם,חלווה,,,TRUE
פיסטק,35,חלווה בטעם,חלווה,,,TRUE
פקאן,35,חלווה בטעם,חלווה,,,TRUE
טעם של פעם,35,חלווה בטעם,חלווה,,,TRUE
טחינה אתיופית,30,טחינה וקרמים,חלווה,,,TRUE
טחינה מלאה עם וניל טהור,30,טחינה וקרמים,חלווה,,,TRUE
טחינה עם אגוזי לוז וקקאו,30,טחינה וקרמים,חלווה,,,TRUE
קרם פיסטוק,30,טחינה וקרמים,חלווה,,,TRUE
קרם אגוזי לוז,30,טחינה וקרמים,חלווה,,,TRUE
250 גרם,35,עלי גפן חמוצים,מטבח טרי,,,TRUE
500 גרם,65,עלי גפן חמוצים,מטבח טרי,,,TRUE
1 קילו,125,עלי גפן חמוצים,מטבח טרי,,,TRUE
250 גרם,45,כרוב חמוץ,מטבח טרי,,,TRUE
500 גרם,80,כרוב חמוץ,מטבח טרי,,,TRUE
1 קילו,155,כרוב חמוץ,מטבח טרי,,,TRUE
250 גרם,40,בצל חמוץ מתוק,מטבח טרי,,,TRUE
500 גרם,75,בצל חמוץ מתוק,מטבח טרי,,,TRUE
1 קילו,140,בצל חמוץ מתוק,מטבח טרי,,,TRUE
